127.0.0.1 - - [31/Mar/2024:12:31:37 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:31:38 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:36:59 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:36:59 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:37:16 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:37:47 +0200] "GET /web_app_tp03/affichageEtudiant.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:38:14 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:39:02 +0200] "GET /web_app_tp03/affichageEtudiant.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:39:29 +0200] "GET /web_app_tp03/affichageEtudiant.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:39:29 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:40:14 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:44:15 +0200] "GET /web_app_tp03/affichageEtudiant2.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:50:18 +0200] "GET /web_app_tp03/affichageEtudiant2.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:52:04 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:52:05 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:52:05 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:52:06 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:52:06 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:53:01 +0200] "GET /web_app_tp03/EtudiantManager HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [31/Mar/2024:12:57:09 +0200] "GET /web_app_tp03/affichageEtudiant2.jsp HTTP/1.1" 200 610
